,title,Running time (int),Budget (float),Box office (float),Release date (datetime),imdb,rotten_tomatoes,Director 1,Director 2,Director 3,genre
0,Snow White and the Seven Dwarfs,83.0,1490000.0,418000000.0,1937-12-21,7.6,,William Cottrell,David Hand,Wilfred Jackson,Musical
1,Pinocchio,88.0,2600000.0,164000000.0,1940-02-07,7.4,100%,Norman Ferguson,T. Hee,Wilfred Jackson,Adventure
2,Fantasia,126.0,2280000.0,83300000.0,1940-11-13,7.8,95%,James Algar,Samuel Armstrong,Ford Beebe Jr.,Musical
3,Dumbo,64.0,950000.0,1300000.0,1941-10-23,7.2,98%,Samuel Armstrong,Norman Ferguson,Wilfred Jackson,Adventure
4,Bambi,70.0,858000.0,267400000.0,1942-08-09,7.3,90%,James Algar,Samuel Armstrong,David Hand,Adventure
5,Saludos Amigos,42.0,,1135000.0,1942-08-24,6.1,83%,Wilfred Jackson,Jack Kinney,Hamilton Luske,Adventure
6,The Three Caballeros,71.0,,3355000.0,1944-12-21,6.4,82%,Norman Ferguson,Clyde Geronimi,Jack Kinney,Comedy
7,Make Mine Music,75.0,1350000.0,3275000.0,1946-04-20,6.3,70%,Robert Cormack,Clyde Geronimi,Jack Kinney,Comedy
8,Fun and Fancy Free,73.0,,3165000.0,1947-09-27,6.6,67%,Jack Kinney,Hamilton Luske,William Morgan,Adventure
9,Melody Time,75.0,1500000.0,2560000.0,1948-05-27,6.4,80%,Clyde Geronimi,Wilfred Jackson,Jack Kinney,Comedy
10,The Adventures of Ichabod and Mr. Toad,68.0,,1625000.0,1949-10-05,7.0,94%,James Algar,Clyde Geronimi,Jack Kinney,Comedy
11,Cinderella,74.0,2900000.0,263600000.00000003,1950-02-15,6.9,84%,Clyde Geronimi,Wilfred Jackson,Hamilton Luske,Drama
12,Alice in Wonderland,75.0,3000000.0,5600000.0,1951-07-26,6.4,51%,Clyde Geronimi,Wilfred Jackson,Hamilton Luske,Adventure
13,Peter Pan,77.0,4000000.0,87400000.0,1953-02-05,7.3,81%,Clyde Geronimi,Wilfred Jackson,Hamilton Luske,Adventure
14,Lady and the Tramp,76.0,4000000.0,187000000.0,1955-06-22,7.3,93%,Clyde Geronimi,Wilfred Jackson,Hamilton Luske,Drama
15,Sleeping Beauty,75.0,6000000.0,51600000.0,1959-01-29,7.2,89%,Les Clark,Clyde Geronimi,Eric Larson,Drama
16,One Hundred and One Dalmatians,79.0,3600000.0,303000000.0,1961-01-25,7.2,98%,Clyde Geronimi,Hamilton Luske,Wolfgang Reitherman,Adventure
17,The Sword in the Stone,79.0,3000000.0,22200000.0,1963-12-25,7.2,66%,Wolfgang Reitherman,Clyde Geronimi,David Hand,Adventure
18,The Jungle Book,78.0,4000000.0,378000000.0,1967-10-18,7.4,94%,Wolfgang Reitherman,,,Musical
19,The Jungle Book,78.0,4000000.0,378000000.0,1967-10-18,7.4,94%,Wolfgang Reitherman,,,Adventure
20,The Aristocats,79.0,4000000.0,191000000.0,1970-12-11,7.1,64%,Wolfgang Reitherman,,,Musical
21,Robin Hood,83.0,5000000.0,32000000.0,1973-11-08,6.6,43%,Wolfgang Reitherman,David Hand,,Adventure
22,The Rescuers,77.0,7500000.0,169000000.0,1977-06-22,6.9,81%,John Lounsbery,Wolfgang Reitherman,Art Stevens,Adventure
23,The Fox and the Hound,83.0,12000000.0,63500000.0,1981-07-10,7.3,70%,Ted Berman,Richard Rich,Art Stevens,Comedy
24,The Black Cauldron,80.0,25000000.0,21300000.0,1985-07-26,6.4,53%,Ted Berman,Richard Rich,,Adventure
25,The Great Mouse Detective,74.0,14000000.0,38700000.0,1986-07-02,7.2,80%,Ron Clements,Burny Mattinson,David Michener,Adventure
26,Oliver & Company,74.0,31000000.0,121000000.0,1988-11-18,6.7,50%,George Scribner,,,Adventure
27,The Little Mermaid,83.0,40000000.0,,1989-11-17,7.6,93%,Ron Clements,John Musker,,Adventure
28,The Rescuers Down Under,77.0,,47400000.0,1990-11-16,6.9,69%,Hendel Butoy,Mike Gabriel,,Adventure
29,Beauty and the Beast,84.0,25000000.0,440100000.0,1991-09-29,8.0,94%,Gary Trousdale,Kirk Wise,,Musical
30,Aladdin,90.0,28000000.0,504100000.0,1992-11-25,8.0,95%,Ron Clements,John Musker,,Comedy
31,The Lion King,88.0,45000000.0,968500000.0,1994-06-15,8.5,93%,Roger Allers,Rob Minkoff,,Adventure
