,title,direction
0,Snow White and the Seven Dwarfs,"['William Cottrell', 'David Hand', 'Wilfred Jackson']"
1,Pinocchio,"['Norman Ferguson', 'T. Hee', 'Wilfred Jackson']"
2,Fantasia,"['James Algar', 'Samuel Armstrong', 'Ford Beebe Jr.']"
3,Dumbo,"['Samuel Armstrong', 'Norman Ferguson', 'Wilfred Jackson']"
4,Bambi,"['James Algar', 'Samuel Armstrong', 'David Hand']"
5,Saludos Amigos,"['Wilfred Jackson', 'Jack Kinney', 'Hamilton Luske']"
6,The Three Caballeros,"['Norman Ferguson', 'Clyde Geronimi', 'Jack Kinney']"
7,Make Mine Music,"['Robert Cormack', 'Clyde Geronimi', 'Jack Kinney']"
8,Fun and Fancy Free,"['Jack Kinney', 'Hamilton Luske', 'William Morgan']"
9,Melody Time,"['Clyde Geronimi', 'Wilfred Jackson', 'Jack Kinney']"
10,The Adventures of Ichabod and Mr. Toad,"['James Algar', 'Clyde Geronimi', 'Jack Kinney']"
11,Cinderella,"['Clyde Geronimi', 'Wilfred Jackson', 'Hamilton Luske']"
12,Alice in Wonderland,"['Clyde Geronimi', 'Wilfred Jackson', 'Hamilton Luske']"
13,Peter Pan,"['Clyde Geronimi', 'Wilfred Jackson', 'Hamilton Luske']"
14,Lady and the Tramp,"['Clyde Geronimi', 'Wilfred Jackson', 'Hamilton Luske']"
15,Sleeping Beauty,"['Les Clark', 'Clyde Geronimi', 'Eric Larson']"
16,One Hundred and One Dalmatians,"['Clyde Geronimi', 'Hamilton Luske', 'Wolfgang Reitherman']"
17,The Sword in the Stone,"['Wolfgang Reitherman', 'Clyde Geronimi', 'David Hand']"
18,The Jungle Book,Wolfgang Reitherman
19,The Aristocats,Wolfgang Reitherman
20,Robin Hood,"['Wolfgang Reitherman', 'David Hand']"
21,The Rescuers,"['John Lounsbery', 'Wolfgang Reitherman', 'Art Stevens']"
22,The Fox and the Hound,"['Ted Berman', 'Richard Rich', 'Art Stevens']"
23,The Black Cauldron,"['Ted Berman', 'Richard Rich']"
24,The Great Mouse Detective,"['Ron Clements', 'Burny Mattinson', 'David Michener']"
25,Oliver & Company,George Scribner
26,The Little Mermaid,"['Ron Clements', 'John Musker']"
27,The Rescuers Down Under,"['Hendel Butoy', 'Mike Gabriel']"
28,Beauty and the Beast,"['Gary Trousdale', 'Kirk Wise']"
29,Aladdin,"['Ron Clements', 'John Musker']"
30,The Lion King,"['Roger Allers', 'Rob Minkoff']"
31,Pocahontas,"['Mike Gabriel', 'Eric Goldberg']"
32,The Hunchback of Notre Dame,"['Gary Trousdale', 'Kirk Wise']"
33,Hercules,"['Ron Clements', 'John Musker']"
34,Mulan,"['Tony Bancroft', 'Barry Cook']"
35,Tarzan,"['Chris Buck', 'Kevin Lima']"
36,Fantasia 2000,"['James Algar', 'Gaëtan Brizzi', 'Paul Brizzi']"
37,Dinosaur,"['Eric Leighton', 'Ralph Zondag']"
38,The Emperor's New Groove,Mark Dindal
39,Atlantis: The Lost Empire,"['Gary Trousdale', 'Kirk Wise']"
40,Lilo & Stitch,"['Dean De', 'Blois', 'Chris Sanders']"
41,Treasure Planet,"['Ron Clements', 'John Musker']"
42,Brother Bear,"['Aaron Blaise', 'Robert Walker']"
43,Home on the Range,"['Will Finn', 'John Sanford']"
44,Chicken Little,Mark Dindal
45,Meet the Robinsons,Stephen J. Anderson
46,Bolt,"['Byron Howard', 'Chris Williams']"
47,The Princess and the Frog,"['Ron Clements', 'John Musker']"
48,Tangled,"['Nathan Greno', 'Byron Howard']"
49,Winnie the Pooh,"['Stephen J. Anderson', 'Don Hall']"
50,Wreck-It Ralph,Rich Moore
51,Frozen,"['Chris Buck', 'Jennifer Lee']"
52,Big Hero 6,"['Don Hall', 'Chris Williams']"
53,Zootopia,"['Byron Howard', 'Rich Moore', 'Jared Bush']"
54,Moana,"['Ron Clements', 'John Musker', 'Don Hall']"
55,Ralph Breaks the Internet,"['Phil Johnston', 'Rich Moore']"
56,Frozen II,"['Chris Buck', 'Jennifer Lee']"
57,Raya and the Last Dragon,"['Don Hall', 'Carlos López Estrada', 'Paul Briggs']"
