,movie,country,date
0,When Marnie Was There,Japón,19 de julio de 2014
1,When Marnie Was There,Taiwán,9 de octubre de 2014
2,When Marnie Was There,Francia,14 de enero de 2015
3,When Marnie Was There,Países Bajos,28 de enero de 2015
4,When Marnie Was There,Bélgica,11 de febrero de 2015
5,When Marnie Was There,Estados Unidos,27 de febrero de 2015
6,When Marnie Was There,Hong Kong,2 de abril de 2015
7,When Marnie Was There,Países Bajos,4 de abril de 2015
8,When Marnie Was There,Países Bajos,11 de abril de 2015
9,When Marnie Was There,Tailandia,16 de abril de 2015
10,When Marnie Was There,Estados Unidos,19 de abril de 2015
11,When Marnie Was There,Países Bajos,23 de abril de 2015
12,When Marnie Was There,Australia,14 de mayo de 2015
13,When Marnie Was There,Estados Unidos,16 de mayo de 2015
14,When Marnie Was There,Estados Unidos,22 de mayo de 2015
15,When Marnie Was There,Canadá,29 de mayo de 2015
16,When Marnie Was There,Turquía,5 de junio de 2015
17,When Marnie Was There,Israel,12 de julio de 2015
18,When Marnie Was There,Nueva Zelanda,18 de julio de 2015
19,When Marnie Was There,Estados Unidos,7 de agosto de 2015
20,The Tale of The Princess Kaguya,Japón,23 de noviembre de 2013
21,The Tale of The Princess Kaguya,Hong Kong,30 de enero de 2014
22,The Tale of The Princess Kaguya,Francia,21 de mayo de 2014
23,The Tale of The Princess Kaguya,Corea del Sur,4 de junio de 2014
24,The Tale of The Princess Kaguya,Francia,9 de junio de 2014
25,The Tale of The Princess Kaguya,Taiwán,13 de junio de 2014
26,The Tale of The Princess Kaguya,Australia,14 de junio de 2014
27,The Tale of The Princess Kaguya,Suiza,25 de junio de 2014
28,The Tale of The Princess Kaguya,Francia,25 de junio de 2014
29,The Tale of The Princess Kaguya,Bélgica,13 de agosto de 2014
30,The Tale of The Princess Kaguya,Países Bajos,4 de septiembre de 2014
31,The Tale of The Princess Kaguya,Canadá,5 de septiembre de 2014
32,The Tale of The Princess Kaguya,Canadá,27 de septiembre de 2014
33,The Tale of The Princess Kaguya,Noruega,28 de septiembre de 2014
34,The Tale of The Princess Kaguya,Estados Unidos,3 de octubre de 2014
35,The Tale of The Princess Kaguya,Estados Unidos,5 de octubre de 2014
36,The Tale of The Princess Kaguya,Israel,14 de octubre de 2014
37,The Tale of The Princess Kaguya,Estados Unidos,17 de octubre de 2014
38,The Tale of The Princess Kaguya,Estados Unidos,18 de octubre de 2014
39,The Tale of The Princess Kaguya,Finlandia,24 de octubre de 2014
40,The Wind Rises,Japón,20 de julio de 2013
41,The Wind Rises,Italia,1 de septiembre de 2013
42,The Wind Rises,Corea del Sur,5 de septiembre de 2013
43,The Wind Rises,Canadá,11 de septiembre de 2013
44,The Wind Rises,Taiwán,18 de septiembre de 2013
45,The Wind Rises,España,20 de septiembre de 2013
46,The Wind Rises,Estados Unidos,28 de septiembre de 2013
47,The Wind Rises,Estados Unidos,10 de octubre de 2013
48,The Wind Rises,España,11 de octubre de 2013
49,The Wind Rises,Brasil,18 de octubre de 2013
50,The Wind Rises,Estados Unidos,8 de noviembre de 2013
51,The Wind Rises,Estados Unidos,8 de noviembre de 2013
52,The Wind Rises,Estados Unidos,8 de noviembre de 2013
53,The Wind Rises,Hong Kong,19 de diciembre de 2013
54,The Wind Rises,Estados Unidos,8 de enero de 2014
55,The Wind Rises,Noruega,14 de enero de 2014
56,The Wind Rises,Bélgica,22 de enero de 2014
57,The Wind Rises,Suiza,22 de enero de 2014
58,The Wind Rises,Francia,22 de enero de 2014
59,The Wind Rises,Estados Unidos,31 de enero de 2014
60,From Up on Poppy Hill,Japón,16 de julio de 2011
61,From Up on Poppy Hill,Canadá,8 de septiembre de 2011
62,From Up on Poppy Hill,Corea del Sur,29 de septiembre de 2011
63,From Up on Poppy Hill,Italia,1 de noviembre de 2011
64,From Up on Poppy Hill,Francia,14 de noviembre de 2011
65,From Up on Poppy Hill,Taiwán,25 de noviembre de 2011
66,From Up on Poppy Hill,Hong Kong,7 de enero de 2012
67,From Up on Poppy Hill,Bélgica,11 de enero de 2012
68,From Up on Poppy Hill,Suiza,11 de enero de 2012
69,From Up on Poppy Hill,Francia,11 de enero de 2012
70,From Up on Poppy Hill,Hong Kong,19 de enero de 2012
71,From Up on Poppy Hill,Turquía,8 de abril de 2012
72,From Up on Poppy Hill,Reino Unido,13 de abril de 2012
73,From Up on Poppy Hill,Tailandia,26 de abril de 2012
74,From Up on Poppy Hill,China,junio de 2012
75,From Up on Poppy Hill,Turquía,3 de agosto de 2012
76,From Up on Poppy Hill,Finlandia,28 de septiembre de 2012
77,From Up on Poppy Hill,Rusia,18 de octubre de 2012
78,From Up on Poppy Hill,Italia,6 de noviembre de 2012
79,From Up on Poppy Hill,España,16 de noviembre de 2012
80,The Secret World of Arrietty,Japón,17 de julio de 2010
81,The Secret World of Arrietty,Corea del Sur,9 de septiembre de 2010
